temperature,precipitation_type,precipitation_intensity,wind_speed,visibility,humidity,dew_point,road_type,segment_distance_m,label,dataset_source
19.2,none,0.0,6.0,10.0,62.0,11.9,arterial,1000.0,0,boston_real
15.213,none,1.168,27.362,9.932,85.421,12.297,arterial,373663.74,1,intercity_synth
2.5,none,0.0,5.2,10.0,58.0,-4.9,arterial,1000.0,0,boston_real
4.7,none,0.0,9.9,10.0,94.0,3.8,arterial,1000.0,0,boston_real
6.6,none,0.0,11.0,10.0,55.0,-1.9,arterial,1000.0,0,boston_real
18.235,none,0.0,11.756,7.995,46.43,7.521,highway,294735.8,0,intercity_synth
-0.6,none,0.0,23.1,10.0,66.0,-6.1,arterial,1000.0,0,boston_real
-0.9,none,0.0,13.3,10.0,38.0,-13.4,residential,1000.0,0,boston_real
21.6,rain,1.5,10.1,10.0,100.0,21.5,tunnel,1000.0,0,boston_real
-1.7,none,0.0,7.2,10.0,67.0,-7.0,arterial,1000.0,0,boston_real
17.6,none,0.0,7.0,10.0,75.0,13.2,arterial,1000.0,0,boston_real
6.8,rain,0.3,17.8,10.0,90.0,5.4,arterial,1000.0,0,boston_real
9.937,none,0.573,0.0,12.515,52.819,0.501,residential,322702.25,0,intercity_synth
2.5,none,0.0,19.8,10.0,57.0,-5.2,arterial,1000.0,0,boston_real
0.5,none,0.0,14.1,10.0,57.0,-7.2,highway,1000.0,1,boston_real
11.6,none,0.0,17.1,10.0,84.0,9.0,residential,1000.0,0,boston_real
25.097,none,0.388,7.647,11.498,85.698,22.236,residential,272207.63,0,intercity_synth
14.8,rain,1.4,13.4,10.0,98.0,14.4,arterial,1000.0,0,boston_real
28.8,none,0.0,24.7,10.0,60.0,20.2,arterial,1000.0,1,boston_real
-8.4,none,0.0,10.5,10.0,65.0,-13.8,arterial,1000.0,0,boston_real
-8.1,none,0.0,8.3,10.0,63.0,-13.9,arterial,1000.0,0,boston_real
5.7,none,0.0,8.4,10.0,90.0,4.2,arterial,1000.0,0,boston_real
-1.0,none,0.0,10.6,10.0,68.0,-6.2,arterial,1000.0,0,boston_real
-1.2,none,0.0,13.6,10.0,57.0,-8.7,arterial,1000.0,0,boston_real
12.1,none,0.0,12.5,10.0,89.0,10.3,arterial,1000.0,1,boston_real
3.091,none,0.0,8.611,10.273,66.567,-3.595,residential,308935.11,0,intercity_synth
29.8,none,0.0,14.2,10.0,32.0,11.2,arterial,1000.0,0,boston_real
6.64,none,0.0,15.996,12.444,78.875,2.415,arterial,514734.83,0,intercity_synth
5.4,none,0.0,15.5,10.0,66.0,-0.6,residential,1000.0,0,boston_real
13.9,none,0.0,15.1,10.0,70.0,8.6,arterial,1000.0,0,boston_real
16.185,none,0.678,8.639,10.775,55.19,7.223,highway,215305.02,0,intercity_synth
17.2,none,0.0,5.7,10.0,97.0,16.8,arterial,1000.0,0,boston_real
31.5,none,0.0,11.6,10.0,49.0,19.4,arterial,1000.0,0,boston_real
3.9,none,0.0,11.6,10.0,88.0,2.1,arterial,1000.0,0,boston_real
29.8,rain,0.1,15.8,10.0,48.0,17.6,arterial,1000.0,1,boston_real
28.3,none,0.0,14.4,10.0,45.0,15.1,arterial,1000.0,1,boston_real
9.8,none,0.0,10.2,10.0,79.0,6.3,arterial,1000.0,0,boston_real
4.194,none,0.0,0.0,9.116,59.036,-3.999,residential,90516.59,0,intercity_synth
19.6,rain,0.7,6.3,10.0,82.0,16.4,arterial,1000.0,0,boston_real
12.5,none,0.0,10.8,10.0,62.0,5.4,highway,1000.0,0,boston_real
22.4,none,0.0,13.5,10.0,97.0,21.9,arterial,1000.0,1,boston_real
-15.7,none,0.0,29.2,10.0,47.0,-24.4,arterial,1000.0,1,boston_real
9.9,none,0.0,15.2,10.0,45.0,-1.5,arterial,1000.0,1,boston_real
-1.4,none,0.0,10.5,10.0,66.0,-6.9,arterial,1000.0,0,boston_real
10.5,rain,0.3,19.4,10.0,91.0,9.1,arterial,1000.0,0,boston_real
5.1,none,0.0,7.8,10.0,97.0,4.7,arterial,1000.0,0,boston_real
29.9,none,0.0,15.8,10.0,50.0,18.1,arterial,1000.0,1,boston_real
21.1,none,0.0,17.7,10.0,54.0,11.5,arterial,1000.0,1,boston_real
14.149,none,0.56,26.774,13.314,54.84,5.117,highway,177587.93,0,intercity_synth
17.7,rain,0.3,13.4,10.0,87.0,15.6,arterial,1000.0,1,boston_real
10.6,none,0.0,18.9,10.0,64.0,4.2,arterial,1000.0,0,boston_real
6.9,none,0.0,18.8,10.0,62.0,0.2,arterial,1000.0,0,boston_real
25.5,none,0.0,5.1,10.0,38.0,10.1,arterial,1000.0,0,boston_real
26.2,none,0.0,16.8,10.0,80.0,22.4,arterial,1000.0,0,boston_real
22.6,none,0.0,18.8,10.0,78.0,18.5,arterial,1000.0,0,boston_real
-7.8,none,0.0,18.3,10.0,52.0,-15.8,arterial,1000.0,0,boston_real
18.9,none,0.0,20.9,10.0,67.0,12.8,residential,1000.0,1,boston_real
12.1,none,0.0,10.1,10.0,92.0,10.8,arterial,1000.0,1,boston_real
-0.1,none,0.0,25.8,10.0,66.0,-5.7,arterial,1000.0,1,boston_real
20.0,none,0.0,7.9,10.0,97.0,19.5,arterial,1000.0,0,boston_real
24.1,none,0.0,10.3,10.0,58.0,15.4,arterial,1000.0,0,boston_real
17.2,none,0.0,20.1,10.0,54.0,7.7,arterial,1000.0,0,boston_real
-2.746,none,0.033,20.53,7.662,81.267,-6.492,arterial,187701.65,1,intercity_synth
15.4,none,0.0,17.2,10.0,62.0,8.2,arterial,1000.0,0,boston_real
20.7,none,0.0,17.3,10.0,23.0,-1.3,arterial,1000.0,0,boston_real
-10.0,none,0.0,8.2,10.0,58.0,-16.7,arterial,1000.0,1,boston_real
23.1,none,0.0,13.2,10.0,36.0,7.3,highway,1000.0,1,boston_real
12.307,none,0.0,0.0,10.754,50.932,2.494,residential,11178.52,0,intercity_synth
22.3,none,0.0,12.6,10.0,92.0,20.9,arterial,1000.0,0,boston_real
10.913,none,0.0,10.452,8.176,80.724,7.058,residential,262092.54,1,intercity_synth
-2.5,snow,0.7000000000000001,6.8,10.0,62.0,-8.7,arterial,1000.0,0,boston_real
23.5,none,0.0,11.2,10.0,66.0,16.8,arterial,1000.0,1,boston_real
-0.398,none,2.209,2.474,11.262,79.231,-4.551,arterial,106273.27,1,intercity_synth
14.1,none,0.0,13.5,10.0,94.0,13.2,arterial,1000.0,1,boston_real
7.056,none,0.0,12.823,7.013,23.23,-8.298,residential,297701.86,0,intercity_synth
15.43,none,2.137,2.543,11.349,35.91,2.612,arterial,67439.04,0,intercity_synth
9.4,none,0.0,32.0,10.0,55.0,0.8,arterial,1000.0,1,boston_real
24.8,none,0.0,8.2,10.0,72.0,19.4,arterial,1000.0,1,boston_real
3.3,none,0.0,10.6,10.0,90.0,1.9,arterial,1000.0,0,boston_real
1.8,snow,4.9,8.0,10.0,95.0,1.0,arterial,1000.0,1,boston_real
0.5,snow,7.7,17.6,10.0,92.0,-0.7,arterial,1000.0,0,boston_real
2.85,none,0.0,23.251,10.256,61.867,-4.776,arterial,515784.72,0,intercity_synth
20.2,none,0.0,1.8,10.0,98.0,20.0,arterial,1000.0,0,boston_real
1.9,none,0.0,22.4,10.0,77.0,-1.8,arterial,1000.0,0,boston_real
19.5,rain,2.0,4.7,10.0,98.0,19.1,arterial,1000.0,0,boston_real
6.234,none,0.959,11.102,13.86,85.132,3.26,arterial,421190.12,0,intercity_synth
-14.6,none,0.0,32.4,10.0,51.0,-22.5,arterial,1000.0,0,boston_real
-4.8,none,0.0,11.7,10.0,67.0,-9.9,residential,1000.0,1,boston_real
-4.2,none,0.0,5.3,10.0,91.0,-5.4,arterial,1000.0,0,boston_real
12.7,none,0.0,18.0,10.0,94.0,11.8,arterial,1000.0,0,boston_real
11.276,none,1.208,13.36,8.481,92.405,9.757,arterial,132635.83,1,intercity_synth
-5.0,none,0.0,14.4,10.0,55.0,-12.6,arterial,1000.0,0,boston_real
5.8,none,0.0,14.0,10.0,82.0,3.0,residential,1000.0,0,boston_real
6.2,none,0.0,16.4,10.0,92.0,5.0,arterial,1000.0,0,boston_real
2.1,none,0.0,16.3,10.0,68.0,-3.2,arterial,1000.0,1,boston_real
6.8,none,0.0,9.8,10.0,98.0,6.6,arterial,1000.0,1,boston_real
33.0,none,0.0,3.1,10.0,42.0,18.5,arterial,1000.0,1,boston_real
27.6,none,0.0,14.2,10.0,39.0,12.5,arterial,1000.0,1,boston_real
11.4,none,0.0,9.1,10.0,88.0,9.4,arterial,1000.0,1,boston_real
-0.2,none,0.0,6.2,10.0,83.0,-2.7,arterial,1000.0,0,boston_real
14.9,none,0.0,17.6,10.0,56.0,6.3,arterial,1000.0,0,boston_real
5.175,none,0.404,16.527,6.01,59.997,-2.826,residential,178.75,1,intercity_synth
10.952,none,0.181,5.567,8.509,84.399,7.831,highway,39747.27,0,intercity_synth
10.348,none,0.0,14.567,11.026,100.0,10.348,highway,85086.4,0,intercity_synth
4.9,none,0.0,12.6,10.0,56.0,-3.2,arterial,1000.0,0,boston_real
4.7,rain,0.5,12.7,10.0,95.0,3.8,arterial,1000.0,0,boston_real
17.1,none,0.0,9.2,10.0,62.0,9.7,arterial,1000.0,0,boston_real
10.08,none,0.0,7.127,11.247,100.0,10.08,arterial,40409.03,1,intercity_synth
26.4,none,0.0,11.3,10.0,50.0,15.1,highway,1000.0,0,boston_real
33.9,none,0.0,21.3,10.0,29.0,13.4,arterial,1000.0,0,boston_real
9.904,none,0.0,0.0,12.722,81.222,6.148,highway,35246.24,0,intercity_synth
15.5,none,0.0,18.2,10.0,48.0,4.6,arterial,1000.0,0,boston_real
4.479,none,0.925,0.0,8.886,84.629,1.404,residential,314281.95,1,intercity_synth
-12.3,none,0.0,16.8,10.0,47.0,-21.3,arterial,1000.0,1,boston_real
-2.2,none,0.0,13.6,10.0,41.0,-13.6,arterial,1000.0,0,boston_real
14.237,none,0.039,16.157,9.242,28.912,0.019,residential,304.68,1,intercity_synth
15.6,none,0.0,5.8,10.0,93.0,14.4,arterial,1000.0,0,boston_real
23.4,none,0.0,5.6,10.0,62.0,15.6,arterial,1000.0,1,boston_real
3.8,none,0.0,20.7,10.0,58.0,-3.6,arterial,1000.0,0,boston_real
9.817,none,0.0,19.731,10.853,20.333,-6.116,arterial,93773.56,0,intercity_synth
12.2,none,0.0,12.2,10.0,60.0,4.6,arterial,1000.0,0,boston_real
2.5,none,0.0,18.7,10.0,75.0,-1.5,arterial,1000.0,0,boston_real
10.5,none,0.0,11.3,10.0,40.0,-2.5,arterial,1000.0,1,boston_real
16.6,none,0.0,3.3,10.0,83.0,13.8,highway,1000.0,0,boston_real
12.997,none,0.0,0.894,10.771,82.061,9.409,arterial,318278.1,1,intercity_synth
7.7,none,0.0,4.1,10.0,57.0,-0.3,arterial,1000.0,1,boston_real
13.6,none,0.0,9.0,10.0,78.0,9.9,arterial,1000.0,1,boston_real
7.908,none,0.165,4.972,11.475,80.422,3.992,highway,425451.18,0,intercity_synth
21.4,none,0.0,11.5,10.0,66.0,14.8,arterial,1000.0,1,boston_real
-0.4,none,0.0,13.9,10.0,84.0,-2.8,arterial,1000.0,0,boston_real
10.5,rain,0.2,12.3,10.0,85.0,8.1,arterial,1000.0,0,boston_real
-0.18,none,0.409,10.612,11.554,75.826,-5.015,arterial,152921.47,1,intercity_synth
2.8,rain,0.1,10.3,10.0,94.0,2.0,arterial,1000.0,0,boston_real
24.724,none,0.0,8.966,9.589,88.665,22.457,residential,373337.62,1,intercity_synth
-12.9,none,0.0,21.3,10.0,38.0,-24.2,arterial,1000.0,1,boston_real
8.347,none,0.634,13.388,10.503,50.745,-1.504,arterial,256365.11,0,intercity_synth
3.5,none,0.0,14.4,10.0,66.0,-2.3,arterial,1000.0,1,boston_real
6.0,none,0.0,16.1,10.0,91.0,4.6,arterial,1000.0,0,boston_real
26.2,rain,0.1,5.9,10.0,74.0,21.2,arterial,1000.0,0,boston_real
7.039,sleet,0.0,21.244,11.135,74.457,1.93,arterial,230950.84,1,intercity_synth
18.1,none,0.0,10.9,10.0,71.0,12.8,arterial,1000.0,0,boston_real
7.3,none,0.0,7.8,10.0,84.0,4.8,arterial,1000.0,1,boston_real
6.3,none,0.0,27.3,10.0,31.0,-9.7,arterial,1000.0,0,boston_real
21.5,none,0.0,17.6,10.0,72.0,16.2,arterial,1000.0,0,boston_real
6.037,snow,1.223,0.0,8.381,81.371,2.311,residential,117142.03,1,intercity_synth
-2.568,none,0.0,6.299,10.035,75.843,-7.4,residential,165360.89,0,intercity_synth
12.057,none,0.0,4.743,8.283,88.026,9.662,highway,243955.84,1,intercity_synth
12.996,none,0.0,1.76,8.835,96.14,12.224,arterial,95190.34,1,intercity_synth
22.6,none,0.0,11.3,10.0,76.0,18.1,arterial,1000.0,0,boston_real
15.1,none,0.0,13.7,10.0,60.0,7.4,arterial,1000.0,0,boston_real
24.7,none,0.0,10.3,10.0,79.0,20.9,arterial,1000.0,1,boston_real
-2.0,none,0.0,11.0,10.0,49.0,-11.2,arterial,1000.0,0,boston_real
9.4,none,0.0,19.6,10.0,59.0,1.9,arterial,1000.0,0,boston_real
18.7,none,0.0,14.3,10.0,87.0,16.5,arterial,1000.0,0,boston_real
24.9,none,0.0,7.9,10.0,66.0,18.0,arterial,1000.0,0,boston_real
5.3,none,0.0,12.3,10.0,75.0,1.2,arterial,1000.0,0,boston_real
-4.8,none,0.0,26.7,10.0,54.0,-12.6,arterial,1000.0,0,boston_real
18.5,none,0.0,13.3,10.0,42.0,5.2,residential,1000.0,0,boston_real
-0.6,snow,1.4,8.3,10.0,82.0,-3.2,residential,1000.0,1,boston_real
1.1,none,0.0,14.0,10.0,45.0,-9.6,arterial,1000.0,0,boston_real
21.2,none,0.0,11.0,10.0,49.0,10.1,arterial,1000.0,0,boston_real
6.949,none,0.0,13.999,11.445,68.491,0.647,arterial,390051.63,0,intercity_synth
16.0,none,0.0,13.5,10.0,68.0,10.1,arterial,1000.0,0,boston_real
17.3,none,0.0,20.9,10.0,57.0,8.8,arterial,1000.0,1,boston_real
5.8,rain,0.8,6.6,10.0,100.0,5.7,arterial,1000.0,0,boston_real
13.0,none,0.0,10.7,10.0,92.0,11.8,arterial,1000.0,0,boston_real
9.3,none,0.0,5.1,10.0,46.0,-1.9,arterial,1000.0,0,boston_real
12.596,none,0.892,3.386,11.439,81.199,8.835,residential,23975.29,0,intercity_synth
13.7,none,0.0,15.7,10.0,29.0,-3.8,arterial,1000.0,0,boston_real
7.9,none,0.0,18.2,10.0,54.0,-0.7,arterial,1000.0,0,boston_real
7.9,none,0.0,0.8,10.0,58.0,0.1,arterial,1000.0,0,boston_real
5.612,none,0.0,12.365,10.501,48.22,-4.744,arterial,236316.62,0,intercity_synth
6.9,rain,1.4,11.7,10.0,99.0,6.7,arterial,1000.0,0,boston_real
24.7,rain,0.2,6.9,10.0,84.0,21.9,arterial,1000.0,0,boston_real
20.6,none,0.0,10.0,10.0,93.0,19.5,arterial,1000.0,0,boston_real
27.5,none,0.0,9.0,10.0,72.0,22.0,arterial,1000.0,0,boston_real
6.0,none,0.0,10.6,10.0,85.0,3.8,arterial,1000.0,1,boston_real
2.3,none,0.0,11.7,10.0,82.0,-0.4,arterial,1000.0,0,boston_real
7.9,none,0.0,22.2,10.0,94.0,7.1,arterial,1000.0,0,boston_real
21.5,none,0.0,10.9,10.0,91.0,20.0,arterial,1000.0,1,boston_real
17.7,none,0.0,10.7,10.0,98.0,17.4,residential,1000.0,0,boston_real
11.34,none,0.357,17.758,11.222,99.824,11.305,arterial,302974.33,1,intercity_synth
5.2,none,0.0,3.4,10.0,49.0,-4.6,arterial,1000.0,0,boston_real
13.9,none,0.0,11.7,10.0,92.0,12.5,arterial,1000.0,0,boston_real
20.7,none,0.0,5.1,10.0,85.0,18.0,arterial,1000.0,1,boston_real
7.669,none,0.0,16.568,8.792,55.864,-1.158,highway,423213.84,1,intercity_synth
7.9,rain,2.1,27.3,10.0,85.0,5.5,bridge,1000.0,0,boston_real
19.242,none,0.725,13.919,11.064,21.658,3.574,highway,415325.71,0,intercity_synth
8.1,none,0.0,12.7,10.0,61.0,1.0,arterial,1000.0,0,boston_real
19.1,none,0.0,8.9,10.0,97.0,18.7,arterial,1000.0,0,boston_real
15.1,none,0.0,11.4,10.0,100.0,15.1,highway,1000.0,0,boston_real
14.4,none,0.0,12.4,10.0,28.0,-4.0,arterial,1000.0,0,boston_real
2.0,rain,0.2,7.6,10.0,87.0,0.1,arterial,1000.0,0,boston_real
14.1,none,0.0,10.1,10.0,71.0,8.9,arterial,1000.0,0,boston_real
21.727,rain,13.828,5.69,9.453,85.806,18.888,residential,310615.95,1,intercity_synth
25.465,none,0.0,4.509,9.183,23.005,10.066,highway,103747.56,0,intercity_synth
7.5,none,0.0,9.4,10.0,30.0,-9.1,arterial,1000.0,0,boston_real
21.2,none,0.0,15.9,10.0,69.0,15.2,arterial,1000.0,0,boston_real
8.027,none,0.0,9.846,11.349,77.198,3.466,arterial,230837.35,0,intercity_synth
0.2,snow,5.6000000000000005,9.4,10.0,94.0,-0.7,arterial,1000.0,0,boston_real
17.8,none,0.0,4.3,10.0,79.0,14.2,arterial,1000.0,0,boston_real
17.0,rain,1.4,8.4,10.0,85.0,14.4,residential,1000.0,0,boston_real
-1.5,none,0.0,6.8,10.0,62.0,-7.8,arterial,1000.0,0,boston_real
16.1,none,0.0,10.8,10.0,46.0,4.6,arterial,1000.0,0,boston_real
8.507,none,0.0,0.0,7.693,50.824,-1.329,arterial,119707.46,0,intercity_synth
32.2,none,0.0,10.2,10.0,47.0,19.4,arterial,1000.0,0,boston_real
21.1,none,0.0,23.0,10.0,54.0,11.6,arterial,1000.0,1,boston_real
10.6,none,0.0,9.8,10.0,93.0,9.5,arterial,1000.0,0,boston_real
8.7,none,0.0,20.3,10.0,46.0,-2.3,arterial,1000.0,0,boston_real
-0.8,none,0.0,16.8,10.0,46.0,-10.9,arterial,1000.0,0,boston_real
-0.3,none,0.0,13.2,10.0,61.0,-6.9,arterial,1000.0,1,boston_real
0.9,snow,1.4,14.8,10.0,82.0,-1.9,arterial,1000.0,0,boston_real
11.9,none,0.0,11.5,10.0,70.0,6.7,arterial,1000.0,0,boston_real
11.1,none,0.0,19.2,10.0,58.0,3.2,arterial,1000.0,0,boston_real
10.147,none,2.175,16.718,7.982,49.758,0.098,residential,6356.42,1,intercity_synth
17.1,none,0.0,13.6,10.0,58.0,8.8,arterial,1000.0,1,boston_real
2.3,none,0.0,13.7,10.0,85.0,0.1,arterial,1000.0,0,boston_real
17.0,none,0.0,13.2,10.0,79.0,13.2,highway,1000.0,1,boston_real
15.9,none,0.0,11.8,10.0,93.0,14.6,arterial,1000.0,0,boston_real
24.035,none,0.0,2.037,12.079,20.0,8.035,highway,21913.3,1,intercity_synth
4.2,none,0.0,14.2,10.0,73.0,-0.2,arterial,1000.0,1,boston_real
3.8,none,0.0,23.7,10.0,69.0,-1.4,residential,1000.0,0,boston_real
8.7,rain,0.2,9.5,10.0,85.0,6.3,arterial,1000.0,0,boston_real
5.4,none,0.0,18.4,10.0,84.0,3.0,residential,1000.0,0,boston_real
13.343,none,0.0,15.577,8.522,88.764,11.096,arterial,215096.2,0,intercity_synth
7.725,none,0.101,6.863,11.525,32.575,-5.76,residential,415033.67,1,intercity_synth
-7.2,none,0.0,31.9,10.0,41.0,-18.2,arterial,1000.0,0,boston_real
12.4,none,0.0,16.1,10.0,62.0,5.4,arterial,1000.0,0,boston_real
25.0,none,0.0,22.3,10.0,73.0,19.9,arterial,1000.0,0,boston_real
11.8,none,0.0,9.9,10.0,69.0,6.2,arterial,1000.0,0,boston_real
0.1,none,0.0,5.4,10.0,70.0,-4.8,arterial,1000.0,0,boston_real
17.0,none,0.0,5.4,10.0,59.0,9.0,arterial,1000.0,0,boston_real
17.3,none,0.0,13.9,10.0,73.0,12.5,arterial,1000.0,0,boston_real
10.1,rain,2.3,16.7,10.0,100.0,10.0,highway,1000.0,0,boston_real
9.706,none,1.484,0.0,11.979,83.028,6.311,arterial,200645.02,0,intercity_synth
4.7,none,0.0,11.3,10.0,63.0,-1.9,arterial,1000.0,0,boston_real
2.4,rain,0.1,11.9,10.0,83.0,-0.2,arterial,1000.0,1,boston_real
25.0,none,0.0,11.8,10.0,87.0,22.6,arterial,1000.0,0,boston_real
12.4,none,0.0,14.2,10.0,70.0,7.1,arterial,1000.0,0,boston_real
5.6,none,0.0,19.3,10.0,71.0,0.7,arterial,1000.0,0,boston_real
10.895,snow,0.457,6.474,11.347,95.879,10.071,highway,36999.3,1,intercity_synth
17.86,none,0.653,0.0,9.534,92.66,16.392,highway,79151.42,1,intercity_synth
17.1,none,0.0,24.2,10.0,32.0,0.2,arterial,1000.0,0,boston_real
15.1,rain,0.7,17.8,10.0,90.0,13.5,arterial,1000.0,1,boston_real
5.708,snow,0.0,0.0,8.118,95.614,4.831,arterial,514734.83,0,intercity_synth
3.7,none,0.0,11.2,10.0,93.0,2.7,arterial,1000.0,0,boston_real
21.1,rain,0.1,7.1,10.0,97.0,20.6,arterial,1000.0,0,boston_real
0.69,none,0.0,0.0,8.295,57.998,-7.711,arterial,115153.09,0,intercity_synth
23.0,none,0.0,14.8,10.0,81.0,19.5,arterial,1000.0,1,boston_real
11.056,none,0.0,0.0,9.145,60.483,3.153,highway,57563.36,1,intercity_synth
22.6,none,0.0,16.4,10.0,78.0,18.7,arterial,1000.0,0,boston_real
12.351,none,1.161,2.291,10.895,76.169,7.585,residential,19709.48,0,intercity_synth
14.4,rain,2.2,17.4,10.0,92.0,13.1,arterial,1000.0,0,boston_real
0.2,none,0.0,5.2,10.0,97.0,-0.2,arterial,1000.0,0,boston_real
26.1,rain,0.2,17.4,10.0,64.0,18.8,arterial,1000.0,1,boston_real
3.2,none,0.0,8.9,10.0,43.0,-8.2,arterial,1000.0,0,boston_real
11.2,none,0.0,11.6,10.0,96.0,10.6,arterial,1000.0,0,boston_real
0.0,none,0.0,8.9,10.0,90.0,-1.5,arterial,1000.0,0,boston_real
17.0,none,0.0,12.9,10.0,59.0,8.9,arterial,1000.0,0,boston_real
17.6,none,0.0,18.1,10.0,49.0,6.8,arterial,1000.0,0,boston_real
20.5,none,0.0,6.5,10.0,89.0,18.7,arterial,1000.0,0,boston_real
12.045,none,1.556,20.267,10.501,70.156,6.076,highway,56872.2,1,intercity_synth
25.5,none,0.0,16.2,10.0,61.0,17.5,arterial,1000.0,1,boston_real
10.333,none,2.03,11.273,9.995,79.732,6.279,highway,28268.12,0,intercity_synth
4.3,none,0.0,7.5,10.0,81.0,1.3,arterial,1000.0,0,boston_real
13.066,none,0.247,20.068,8.951,44.529,1.972,residential,22868.65,1,intercity_synth
9.87,none,0.0,0.0,9.813,69.209,3.712,highway,108689.65,0,intercity_synth
26.8,none,0.0,4.3,10.0,63.0,19.0,arterial,1000.0,1,boston_real
0.1,none,0.0,8.1,10.0,59.0,-7.0,arterial,1000.0,0,boston_real
17.1,none,0.0,9.8,10.0,56.0,8.2,arterial,1000.0,0,boston_real
12.8,none,0.0,18.1,10.0,60.0,5.2,arterial,1000.0,0,boston_real
15.8,none,0.0,5.9,10.0,85.0,13.1,arterial,1000.0,1,boston_real
25.4,none,0.0,16.4,10.0,25.0,3.7,highway,1000.0,0,boston_real
1.0,none,0.0,13.8,10.0,59.0,-6.1,arterial,1000.0,0,boston_real
12.8,rain,0.1,9.6,10.0,74.0,8.3,arterial,1000.0,1,boston_real
